row_id,plaintext_score,threshold,decision_margin,safety_factor,error_budget,plaintext_decision,encrypted_score_available,key_repeat_localization,violation_membership
1,0.40594115044700002,0.5,0.094058849552999979,0.5,0.04702942477649999,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
2,0.61305140829500004,0.5,0.11305140829500004,0.5,0.056525704147500022,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
4,0.36043284593500002,0.5,0.13956715406499998,0.5,0.069783577032499988,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
7,0.61997392551999997,0.5,0.11997392551999997,0.5,0.059986962759999984,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
12,0.373458310701,0.5,0.126541689299,0.5,0.063270844649500002,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
13,0.38275564654900002,0.5,0.11724435345099998,0.5,0.058622176725499991,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
16,0.39467686635799998,0.5,0.10532313364200002,0.5,0.052661566821000011,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
18,0.64976387129000002,0.5,0.14976387129000002,0.5,0.074881935645000008,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
22,0.62100828197400004,0.5,0.12100828197400004,0.5,0.060504140987000021,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
23,0.60275594090200002,0.5,0.10275594090200002,0.5,0.05137797045100001,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
24,0.37228549907300001,0.5,0.12771450092699999,0.5,0.063857250463499993,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
27,0.55480878962699998,0.5,0.054808789626999976,0.5,0.027404394813499988,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
28,0.69387790673000005,0.5,0.19387790673000005,0.5,0.096938953365000025,True,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
29,0.37778830569799998,0.5,0.12221169430200002,0.5,0.061105847151000009,False,false,NOT_AVAILABLE_TABULAR_TRIAL_RESULT_V1,NOT_RECOVERABLE_FROM_FROZEN_AGGREGATE
