program,input_id,key_context,pixel_index,row,column,input_value,plaintext_output,decrypted_output,absolute_error,keygen_ms,encrypt_ms,execute_ms,decrypt_ms,total_ms
sobel,eva_v1.0.1_official_baboon_64x64,1,0,0,0,0.30980392156862746,0.651585207742035,0.03655659728270999,0.615028610459325,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,1,0,1,0.30980392156862746,0.7376456584656166,0.508336574196591,0.22930908426902563,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,2,0,2,0.29411764705882354,0.4679942449016525,0.4043076596729046,0.06368658522874787,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,3,0,3,0.44313725490196076,0.12911845533391658,0.12467849212363273,0.004439963210283851,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,4,0,4,0.4745098039215686,0.25569638536158346,0.30196880777672147,0.046272422415138015,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,5,0,5,0.5098039215686274,0.3699695907441973,0.3685417672865286,0.0014278234576686755,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,6,0,6,0.4196078431372549,0.20500919650350305,0.20479775168739975,0.00021144481610330113,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,7,0,7,0.5490196078431373,0.06870627186513655,0.06907859154885825,0.0003723196837217002,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,8,0,8,0.4745098039215686,0.164565438041173,0.16604803543118804,0.0014825973900150502,333.466545,12.579485,171.185187,0.950484,518.197239
sobel,eva_v1.0.1_official_baboon_64x64,1,9,0,9,0.4549019607843137,0.14285051749885086,0.1502108163532099,0.007360298854359043,333.466545,12.579485,171.185187,0.950484,518.197239
