split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,key_run,tag,status,exit_code,failure_class,binding_path,binding_sha256
0,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,1,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key1,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key1.json,sha256:7eed694e610365ab5e363ceac9cc6e9f57b1410621b590e4dbc197e248c71d86
0,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,2,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key2,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key2.json,sha256:c0503544a2785a891e871ccbac1187c4c8ed9239502919fcb6214bbc375cba3b
0,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,3,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key3,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_baseline_non_rescale_key3.json,sha256:1176573a9ee578ce1c96dea554e86fd8c20db70618a50de7f8b48388416ada26
0,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,1,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key1,FAILED,1,EXPECTED_PARAMETER_FAILURE,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key1.json,sha256:aea6656c065f7d5de7c67ff276f56bb2305fc0844297e7723ecde57f45fdbfb3
0,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,2,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key2,FAILED,1,EXPECTED_PARAMETER_FAILURE,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key2.json,sha256:8e73c0da5d364edbe6353b7f9daa4eb520fdd3ac878911c69e69b1cfc3bf43fe
0,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,3,finiteauditv1_confirm_seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key3,FAILED,1,EXPECTED_PARAMETER_FAILURE,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_linear_poly3_short_chain_3_rescale_aware_key3.json,sha256:ec6de12d3bf13f4e58c830272b68f578d9e4bc41b07d29c0827cf76fa5f2c114
0,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,1,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key1,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key1.json,sha256:cb22c5f4d7e9aab8704b8364c8e6609050f88d1859dd984852fed1f9860b1b21
0,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,2,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key2,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key2.json,sha256:fcfd002f9fe12600780216279e630f239b6c6151a5535d8e2540a80d2beeb3dd
0,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,3,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key3,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale_key3.json,sha256:c3f00d56b4b1f616b0b50d022c035ed237e6497b7d47bd6053695fe52e86feca
0,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,1,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key1,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key1.json,sha256:386589fbc599437d763205b30d82e99e8916e45566aa376307c54e11df13c952
0,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,2,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key2,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key2.json,sha256:38d505ad1f70021400cac8ee5beeb3aeeb64b7e99ffce5291d497f092f7c9536
0,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,3,finiteauditv1_confirm_seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key3,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_banknote_mlp_square_linear_score_short_chain_3_rescale_aware_key3.json,sha256:072e6156fc2f81cd94e512920f8460209d6aa62c8b9307afcc03620c46f383dd
0,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,1,finiteauditv1_confirm_seed0_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale_key1,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale_key1.json,sha256:de29d562211c92e47e07a687de85f95c60469aef003a84800c9262f0f67be1e2
0,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,2,finiteauditv1_confirm_seed0_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale_key2,SUCCESS,0,,results/thesis_grade_protocol/finite_domain_no_safe_locked_audit_v1/full/bindings/seed0_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale_key2.json,sha256:200be5825ffa27b9b4917fe3c6073db7d8618362e1f917cb2cfad2b6397ec055
