row_id,label,raw_logit,scaled_logit,polynomial_score,plaintext_decision,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
1,1,6.788927981095,0.027410958709,0.505399958866,True,0.122702179041,-0.100246354240,-0.434905795760,-0.269969558095,-0.465719101589,-0.892523126142,-0.761851321411,0.409841417821
6,1,22.995881243457,0.092848112837,0.518291078229,True,-0.837816312422,-0.757401607620,-1.165749586887,-1.853738491048,-0.950568811456,-1.258946753218,-1.692788363682,0.269960189065
7,0,-28.802152124725,-0.116291497687,0.477090574956,False,-0.792697105958,-0.548465923153,0.426003415821,0.680924676376,0.290951026337,0.984675233573,1.024909037358,2.803193870264
9,0,-149.200704061593,-0.602412391132,0.381324758947,False,4.846336025045,5.684003837809,2.013627357562,-0.288955799049,2.113121776714,1.362301160884,1.631141863487,0.449807483179
11,1,5.336144707166,0.021545204580,0.504244405302,True,-0.865581977939,-0.686783680747,-0.604197295399,1.111279471344,-0.587728396731,-0.741743778610,-0.594028331738,-0.361811074875
12,0,-8.294640872141,-0.033490421327,0.493402386999,False,0.145695620797,-0.051222338890,0.170001635879,1.210957236355,0.015234810755,0.558716801210,0.844517806168,0.697289657131
14,1,8.603129250392,0.034735973235,0.506842986727,True,-0.680332928320,-0.700790542276,-1.209104727038,0.908759567830,-0.972172779536,-0.833801391034,-0.729173893466,-0.078974304644
15,0,-4.197808124049,-0.016949059627,0.496661035253,False,-0.524151059790,-0.343615573298,0.310389708750,-0.882275828877,0.194441496798,0.243877959899,0.158439680987,0.746478660650
16,0,-33.017712987873,-0.133312235729,0.473737489561,False,1.392113699376,1.524841392683,1.235299365317,-0.144976805144,1.185213639496,0.219034148892,0.782415906906,-0.054379802885
18,1,10.324262557285,0.041685216789,0.508211987707,True,0.068038525055,-0.530373727012,-1.235943623322,-1.492999912913,-1.026182699737,-0.310816584047,-0.177206298358,0.166970712948
