split_seed,dataset_id,model_id,workload_id,observation_index,measurement_run,row_index,row_id,order_index,order_position,arm_id,role,candidate_id,plain_y,ckks_y,y_error,decision_flip,encode_encrypt_ms,model_eval_ms,polynomial_eval_ms,eval_only_ms,decrypt_decode_ms,total_ms
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,1,1,1,1,1,1,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,0.5346160073206534,0.5332348825911386,0.0013811247295147933,False,32.822826,2.625407,26.541244,29.166650999999998,21.158251,83.152958
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,2,1,1,1,1,2,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,0.5346160073206534,0.5346160073184816,2.1718182807717312e-12,False,368.390306,14.06772,167.212568,181.280288,94.030376,643.705829
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,3,1,1,1,1,3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,0.5346160073206534,0.5346160073206778,2.4424906541753444e-14,False,154.36067,14.266483,131.026578,145.293061,99.128414,398.787355
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,4,1,2,94,2,1,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,0.40994060962322787,0.40994060962204354,1.1843304115188857e-12,False,179.081151,18.480441,163.963691,182.44413200000002,79.744521,441.275265
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,5,1,2,94,2,2,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,0.40994060962322787,0.4099406096197397,3.488154209918548e-12,False,169.297521,14.23305,129.199236,143.432286,94.010158,406.745785
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,6,1,2,94,2,3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,0.40994060962322787,0.41394570395352276,0.004005094330294889,False,35.720044,4.000829,24.231534,28.232363,12.350538,76.307502
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,7,1,3,169,3,1,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,0.5620522192440028,0.5620522192428071,1.1957101975212936e-12,False,174.987589,16.072261,149.075897,165.148158,169.372351,509.518388
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,8,1,3,169,3,2,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,0.5620522192440028,0.5594972638209117,0.002554955423091143,False,39.384936,5.90454,27.257042,33.161581999999996,17.010839,89.561996
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,9,1,3,169,3,3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,0.5620522192440028,0.5620522192388222,5.180633699808368e-12,False,188.522469,22.725116,126.661017,149.386133,96.314607,434.229492
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,10,1,4,261,4,1,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,0.41094283671744697,0.41094283672345605,6.00908212078366e-12,False,151.630091,15.891092,128.806343,144.69743499999998,80.378952,376.713402
