phase,row_id,key_repeat,execution_status,failure_reason,plaintext_score,eva_plaintext_score,native_ckks_score,threshold,decision_margin,error_budget,absolute_error,normalized_budget_usage,certifiable,plaintext_decision,native_ckks_decision,decision_flip,error_violation,keygen_ms,encrypt_ms,execute_ms,decrypt_ms,total_sample_ms
locked_audit_scale_30,0,1,OK,,0.372731897182,0.3727318971818641,0.3709260037702015,0.5,0.127268102818,0.063634051409,0.001805893411798487,0.02837935620649596,true,false,false,false,false,37.617647,26.824304,21.74859,0.731202,49.382693
locked_audit_scale_30,3,1,OK,,0.417581541703,0.41758154170313116,0.415760963860262,0.5,0.08241845829700001,0.041209229148500004,0.0018205778427379804,0.04417888614653324,true,false,false,false,false,37.617647,26.800689,21.679159,0.75113,49.298485
locked_audit_scale_30,5,1,OK,,0.629785886387,0.6297858863875143,0.6279677271463572,0.5,0.12978588638699995,0.06489294319349997,0.0018181592406427693,0.028017826764634803,true,true,true,false,false,37.617647,26.494034,21.566879,0.939613,49.071028
locked_audit_scale_30,6,1,OK,,0.621733672687,0.621733672687174,0.6199201388529061,0.5,0.12173367268699997,0.060866836343499986,0.0018135338340938834,0.029795105890821478,true,true,true,false,false,37.617647,26.268191,21.582487,0.739398,48.657592
locked_audit_scale_30,8,1,OK,,0.629438854140,0.6294388541403623,0.6276085732254105,0.5,0.12943885414,0.06471942707,0.0018302809145894772,0.028280239758764557,true,true,true,false,false,37.617647,26.765354,21.551009,0.728096,49.10925
locked_audit_scale_30,9,1,OK,,0.399716912828,0.39971691282815713,0.39790708773937444,0.5,0.10028308717200002,0.05014154358600001,0.0018098250886255385,0.03609432337322098,true,false,false,false,false,37.617647,26.837799,21.927135,0.735339,49.568742
locked_audit_scale_30,10,1,OK,,0.640342164990,0.6403421649901747,0.638504576326387,0.5,0.14034216498999996,0.07017108249499998,0.0018375886636129435,0.026187264016397073,true,true,true,false,false,37.617647,26.498091,21.697854,0.754776,49.020964
locked_audit_scale_30,11,1,OK,,0.565146843018,0.565146843017817,0.5633329581940775,0.5,0.065146843018,0.032573421509,0.0018138848239225291,0.05568603910465331,true,true,true,false,false,37.617647,26.559437,21.614929,0.735991,48.983705
locked_audit_scale_30,14,1,OK,,0.645080005659,0.6450800056593898,0.643278412929663,0.5,0.14508000565900003,0.07254000282950002,0.0018015927293369982,0.024835851379431437,true,true,true,false,false,37.617647,28.409378,21.673158,0.736682,50.886956
locked_audit_scale_30,15,1,OK,,0.654038616520,0.6540386165197407,0.6522255394043176,0.5,0.15403861651999995,0.07701930825999997,0.0018130771156823489,0.023540553098215393,true,true,true,false,false,37.617647,26.615182,21.489614,0.820069,48.992591
locked_audit_scale_30,17,1,OK,,0.375133521761,0.375133521761031,0.373328210953455,0.5,0.12486647823899999,0.062433239119499995,0.0018053108075450353,0.02891586009320436,true,false,false,false,false,37.617647,26.377004,21.719855,0.744908,48.914685
locked_audit_scale_30,19,1,OK,,0.381214331404,0.3812143314035414,0.3793897468286234,0.5,0.11878566859599998,0.05939283429799999,0.0018245845753765977,0.030720618016339376,true,false,false,false,false,37.617647,26.582821,21.703435,0.734298,49.088862
locked_audit_scale_30,20,1,OK,,0.380991310600,0.3809913106000152,0.37917501323221664,0.5,0.11900868939999998,0.05950434469999999,0.0018162973677833816,0.030523777329882634,true,false,false,false,false,37.617647,26.531975,21.968131,0.734809,49.299277
locked_audit_scale_30,21,1,OK,,0.363584009654,0.3635840096535568,0.3617750975890704,0.5,0.136415990346,0.068207995173,0.001808912064929613,0.026520528280322003,true,false,false,false,false,37.617647,26.832509,21.828289,0.732725,49.461571
locked_audit_scale_30,25,1,OK,,0.335080207201,0.3350802072008215,0.33327991516550887,0.5,0.164919792799,0.0824598963995,0.0018002920354911467,0.021832334432839075,true,false,false,false,false,37.617647,26.330577,21.565406,0.74088,48.705062
locked_audit_scale_30,26,1,OK,,0.643919131784,0.6439191317839463,0.6421179338393771,0.5,0.14391913178399995,0.07195956589199998,0.0018011979446228565,0.025030694978429583,true,true,true,false,false,37.617647,26.474418,21.520051,0.731252,48.791554
locked_audit_scale_30,0,2,OK,,0.372731897182,0.3727318971818641,0.3716230990539343,0.5,0.127268102818,0.063634051409,0.0011087981280656911,0.017424603706890016,true,false,false,false,false,23.381774,26.453338,21.595152,0.750588,48.891802
locked_audit_scale_30,3,2,OK,,0.417581541703,0.41758154170313116,0.416509586228915,0.5,0.08241845829700001,0.041209229148500004,0.0010719554740850068,0.02601250972742414,true,false,false,false,false,23.381774,27.117784,22.543211,0.801214,50.534414
locked_audit_scale_30,5,2,OK,,0.629785886387,0.6297858863875143,0.6287026942414706,0.5,0.12978588638699995,0.06489294319349997,0.0010831921455293214,0.016691986712629482,true,true,true,false,false,23.381774,26.648253,21.437736,0.752121,48.908404
locked_audit_scale_30,6,2,OK,,0.621733672687,0.621733672687174,0.6206657772065053,0.5,0.12173367268699997,0.060866836343499986,0.001067895480494685,0.01754478373852145,true,true,true,false,false,23.381774,27.106614,21.926975,0.727926,49.829932
locked_audit_scale_30,8,2,OK,,0.629438854140,0.6294388541403623,0.6283549913819066,0.5,0.12943885414,0.06471942707,0.0010838627580933569,0.016747100633648374,true,true,true,false,false,23.381774,26.721281,22.333026,0.736542,49.858476
locked_audit_scale_30,9,2,OK,,0.399716912828,0.39971691282815713,0.3986635943960937,0.5,0.10028308717200002,0.05014154358600001,0.0010533184319062583,0.02100690079673484,true,false,false,false,false,23.381774,26.39613,21.655054,1.020284,49.133917
locked_audit_scale_30,10,2,OK,,0.640342164990,0.6403421649901747,0.6392409186776363,0.5,0.14034216498999996,0.07017108249499998,0.0011012463123636351,0.015693734131037584,true,true,true,false,false,23.381774,26.471241,21.721519,0.734789,48.993623
locked_audit_scale_30,11,2,OK,,0.565146843018,0.565146843017817,0.5640676934468487,0.5,0.065146843018,0.032573421509,0.0010791495711512944,0.03312975797931226,true,true,true,false,false,23.381774,26.565729,21.600883,0.735159,48.968145
locked_audit_scale_30,14,2,OK,,0.645080005659,0.6450800056593898,0.6439687815606473,0.5,0.14508000565900003,0.07254000282950002,0.0011112240983527366,0.015318776606124317,true,true,true,false,false,23.381774,26.458908,21.521163,0.738686,48.784661
locked_audit_scale_30,15,2,OK,,0.654038616520,0.6540386165197407,0.6529362515355269,0.5,0.15403861651999995,0.07701930825999997,0.0011023649844730254,0.014312839330518103,true,true,true,false,false,23.381774,26.50254,21.932755,0.744557,49.243852
locked_audit_scale_30,17,2,OK,,0.375133521761,0.375133521761031,0.37402381747371233,0.5,0.12486647823899999,0.062433239119499995,0.0011097042872876828,0.017774254594794602,true,false,false,false,false,23.381774,26.407662,21.929639,0.756239,49.156268
locked_audit_scale_30,19,2,OK,,0.381214331404,0.3812143314035414,0.3801438142580133,0.5,0.11878566859599998,0.05939283429799999,0.0010705171459867158,0.018024348536987814,true,false,false,false,false,23.381774,26.535272,21.761754,0.73568,49.094812
locked_audit_scale_30,20,2,OK,,0.380991310600,0.3809913106000152,0.3799004542327763,0.5,0.11900868939999998,0.05950434469999999,0.0010908563672237248,0.01833238182393974,true,false,false,false,false,23.381774,26.512789,21.6899,0.739728,49.006427
locked_audit_scale_30,21,2,OK,,0.363584009654,0.3635840096535568,0.36250391664326087,0.5,0.136415990346,0.068207995173,0.001080093010739136,0.015835284529322872,true,false,false,false,false,23.381774,26.786804,21.777133,0.726212,49.356063
