row_id,label,scaled_logit,polynomial_score,plaintext_decision,materialization_schema,source_data_sha256,source_model_sha256,source_feature_space,preprocessing_method,x_0,x_1,x_2,x_3
0,0,-0.65164968511170529,0.37273189718186411,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-1.6844283692140001,-0.157062743522,-1.1014021539959999,-1.0349419057460001
1,0,-0.47969736731777357,0.40594115044698642,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-0.73862634371900004,0.84242744252699997,-0.88978783346599999,-0.31408684701799999
4,0,-0.71591302463139084,0.36043284593527458,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-1.6844283692140001,0.242733330898,-1.1014021539959999,-1.0349419057460001
5,1,0.66477675424849136,0.62978588638751432,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,0.049542010859000001,-1.556349003991,0.80312673077300001,0.94740950575799998
6,1,0.62284345805449648,0.62173367268717405,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,0.36480935269100001,-0.55685881794199998,1.1558172649889999,0.94740950575799998
7,1,0.61369777210546816,0.6199739255203699,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,0.83771036543800004,0.64252940531699998,1.1558172649889999,1.4880507998050001
8,1,0.66296657265876402,0.62943885414036227,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,1.152977707269,-0.35696078073199999,1.014741051303,0.94740950575799998
9,0,-0.51177281078911718,0.39971691282815719,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-0.10809166005699999,0.64252940531699998,-0.819249726623,-1.0349419057460001
17,0,-0.63914131622695236,0.37513352176103099,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-0.10809166005699999,1.242223516947,-0.96032594030899998,-1.0349419057460001
18,1,0.76947339682814231,0.64976387128962254,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,1.7835123909320001,-0.157062743522,1.085279158146,1.12762327044
21,0,-0.69941394532598733,0.36358400965355681,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,0.52244302360600003,1.8419176285759999,-1.1719402608389999,-1.0349419057460001
23,1,0.52453407989007761,0.60275594090189966,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,0.20717568177500001,-1.156552929571,0.73258862393000002,0.58698197639399996
24,0,-0.65397605631791433,0.37228549907271891,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-1.2115273564669999,0.242733330898,-1.1014021539959999,-1.0349419057460001
25,0,-0.8496086356992093,0.33508020720082149,false,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-1.3691610273820001,1.0423254797370001,-1.313016474526,-1.0349419057460001
26,1,0.73873990633731379,0.64391913178394633,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,1.310611378185,0.44263136810699999,1.296893478676,1.4880507998050001
27,1,0.27865654701079168,0.5548087896270476,true,flipguard_tabular_validation_v2,sha256:db50fa4ae4f89f43f383cb9634f3dc3b03976ba910a052e2138d27d509891503,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,model_input,identity_model_input_v1,-0.89626001463500005,-1.3564509667810001,0.30935998286999999,0.40676821171100003
