split_seed,dataset_id,model_id,status,action,result_path,result_sha256,error
0,banknote,linear_poly3,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_banknote_linear_poly3.json,sha256:96b253f963fa8e6e170825eb709ed6a7f48a57f4670c6bcb62dd12924eaaf202,
0,banknote,mlp_square_linear_score,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_banknote_mlp_square_linear_score.json,sha256:7feccb2ad7bf747840455621164212bcb27196ab2230c61a4ac9e8f355e10132,
0,digits_binary,linear_poly3,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_digits_binary_linear_poly3.json,sha256:de4de622f79faef7a27b39aa2554d724ed546b10feb23aef595a52300e5b86ae,
0,digits_binary,mlp_square_linear_score,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_digits_binary_mlp_square_linear_score.json,sha256:d8c43ea6360231132f371aa995ed0859710172cd0d7f06fa405395e7aef21669,
0,iris_binary,linear_poly3,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_iris_binary_linear_poly3.json,sha256:3df104353b5e448d63eeaf6965e9cf197c3f9ed234ecd6f076bcc6785732dfdf,
0,iris_binary,mlp_square_linear_score,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_iris_binary_mlp_square_linear_score.json,sha256:95dcf254ba6e67668f5860f51f7fb4d198518d631088c343c546c495092aa850,
0,mnist_pool16,linear_poly3,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_mnist_pool16_linear_poly3.json,sha256:eaf8ce21857393f13952b15c7e25992391cefdbfb8329128be8a1ae214f240ea,
0,mnist_pool16,mlp_square_linear_score,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_mnist_pool16_mlp_square_linear_score.json,sha256:7d55ace0c967e4c946a1d49f49d49579a7f6407a49c7d200c2c687099a18eadf,
0,wdbc,linear_poly3,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_wdbc_linear_poly3.json,sha256:cf3e7fbb13b8c12c7312a711c744bb41e7db3e824aa1a51c483308195eb934e5,
0,wdbc,mlp_square_linear_score,ok,run,results/thesis_grade_protocol/paired_tabular_latency_v1/pilot_seed0/results/seed0_wdbc_mlp_square_linear_score.json,sha256:2b7005c1edeaa4560faaf119c73b962ad3a6e857fc7dc8f54498084c085fc08f,
