row_id,plaintext_score,decision_margin,alpha_margin_budget,key_observations,decision_flips,error_violations,mean_absolute_error,median_absolute_error,max_absolute_error,native_output_mean,native_output_std,native_output_min,native_output_max,any_key_violation,all_keys_violation
1,0.405941150447,0.09405884955299998,0.04702942477649999,3,1,2,0.6574533841743659,0.48914022395406836,1.4771791718673792,0.07860842004311315,0.8366426569030073,-1.0712380214203792,0.8950813744010684,True,False
2,0.613051408295,0.11305140829500004,0.05652570414750002,3,1,2,0.518515940297066,0.38074167540515425,1.1609958626077534,0.3575701068535639,0.6575850399092105,-0.5479444543127533,0.9937930837001543,True,False
4,0.360432845935,0.13956715406499998,0.06978357703249999,3,0,3,0.6926140164759768,0.2937640602215202,1.7134163431843255,-0.2850734065262537,0.7696429887698613,-1.3529834972493255,0.43109449195708466,True,True
7,0.61997392552,0.11997392551999997,0.059986962759999984,3,1,3,0.7097693632324267,0.4840880606575432,1.5518896688254888,0.23292993605926868,0.8567388169648811,-0.931915743305489,1.1040619861775431,True,True
12,0.373458310701,0.126541689299,0.0632708446495,3,1,2,0.7509815966598268,0.4181730843708026,1.784804773973152,-0.06542994195460793,0.9635048536444668,-1.4113464632721522,0.7916313950718026,True,False
13,0.382755646549,0.11724435345099998,0.05862217672549999,3,0,3,0.7447702878885657,0.23802619770930802,1.7628945724021376,-0.3620146413395656,0.7199250736026348,-1.3801389258531376,0.14936555299474868,True,True
16,0.394676866358,0.10532313364200002,0.05266156682100001,3,0,3,0.7458322595312035,0.4251181812008925,1.7592006599905523,-0.35115539317320343,0.7324713976333449,-1.3645237936325523,0.34149892895583456,True,True
18,0.64976387129,0.14976387129000002,0.07488193564500001,3,1,2,0.5626154085088519,0.16110500545275885,1.5151519608195705,0.19455179974965398,0.7527993331247546,-0.8653880895295706,0.8108688767427589,True,False
22,0.621008281974,0.12100828197400004,0.06050414098700002,3,2,3,0.6108866525901959,0.31080638232802,1.4589467298718453,0.05205952643095244,0.6475531843839274,-0.8379384478978453,0.6839151275447226,True,True
23,0.602755940902,0.10275594090200002,0.05137797045100001,3,2,3,0.6711793639752003,0.305021716039831,1.6453226748501117,-0.06842342307320028,0.6958623378235886,-1.0425667339481117,0.5395622398663419,True,True
24,0.372285499073,0.12771450092699999,0.06385725046349999,3,0,3,0.6829820503897963,0.19614703308006776,1.6637839816210014,-0.31069655131679635,0.6935378082543956,-1.2914984825480014,0.18327036260468005,True,True
27,0.554808789627,0.054808789626999976,0.027404394813499988,3,1,3,0.6613068449580989,0.35022852997362586,1.6048326167960072,0.1462272233877607,0.8559914186894736,-1.0500238271690072,0.9050373196006258,True,True
28,0.69387790673,0.19387790673000005,0.09693895336500002,3,1,2,0.5423445118235795,0.22774421288615543,1.3373817827569774,0.3033628701638575,0.6798980368379034,-0.6435038760269773,0.9216221196161555,True,False
29,0.377788305698,0.12221169430200002,0.06110584715100001,3,0,2,0.6038293898729317,0.08209546148463093,1.6779903547013775,-0.22604108417493166,0.7596498537665687,-1.3002020490033774,0.3263859522652134,True,False
